"",mouse,treatment,vessel,roi,rep,alpha,c0,cr,k1,k2,r1,r2,alpha_std,c0_std,cr_std,k1_std,k2_std,r1_std,r2_std,I_plasma,I_plasma_std,logit_alpha,log_c0,log_k1,log_k2,log_r1,log_r2,log_I_plasma,alpha_stnd,c0_stnd,cr_stnd,k1_stnd,k2_stnd,r1_stnd,r2_stnd,I_plasma_stnd
0,N-208,N,1,N-208-1,1,0.4139732203328372,270.66945607867564,14.67507141278568,1.426052196245804,0.20413354612553128,0.7350590690552959,0.0745400846707021,0.0278364200398398,8.607432965318404,4.698168853520323,0.21002109260276608,0.011112014909841251,0.1080351661044376,0.0030329815253567,68.43748474121094,1.1116018133771777,-0.34756420107680863,5.600898357149857,0.3549099245801483,-1.5889808614495706,-0.3078044169368522,-2.596418249022063,4.22592069705132,-2.1893416000728028,2.5609495464147467,0.7721858330930624,1.9604780815662501,0.5361264475562767,1.3445082219761562,0.9391129731673827,2.875355991488051
1,N-317,N,1,N-317-1,1,0.6765504348373402,97.51152483177962,2.9911302247297185,0.5744099916118759,0.16840883601612502,0.6384451729964349,0.0898194747274906,0.0324524301674599,8.150637750783124,2.0095326147828585,0.07295332778285933,0.019989590685619965,0.0953846312931175,0.0070125048601028,36.06057357788086,0.9970508399029052,0.7379637993206003,4.579970574421198,-0.5544118665319396,-1.7813607081458913,-0.44871947564369297,-2.4099534593969754,3.585200123857234,0.6179179048438601,-0.6239892688723233,-0.6766591505084545,-0.7012948557588881,0.13827922746068125,0.866017787830237,1.4782140312872747,0.6547241752715254
2,N-330,N,1,N-330-1,1,0.660116491843765,95.54668788574376,4.391747489720716,0.5957429800531592,0.04390728174854516,0.2911162867138619,0.0207844216226875,0.0145256589616891,2.770240908438063,1.2019307579114549,0.04854855588144342,0.003365382603325746,0.0212779683019116,0.0009257673433212,16.59933673469388,0.5568286804467105,0.6638133864076534,4.559615006409332,-0.5179459464496985,-3.125675101390863,-1.2340324809331793,-3.873551533333577,2.809362738822913,0.44221970970902835,-0.6601290252789586,-0.502978261015247,-0.6346194714292848,-1.248228797691795,-0.8541648812085435,-0.9575422415638876,-0.6800616385726552
3,N-330,N,1,N-330-1,2,0.4382563994317763,126.82439582907932,8.57033212159121,0.5995430452810567,0.12236560773569224,0.2302780199360207,0.0304466806995663,0.0164485424327272,1.3644989574167208,0.609718719536164,0.04335140070270164,0.007550425374600779,0.0166403871571451,0.0011328907054384,16.144500172950536,0.6043427915763461,-0.24824139310871962,4.84280341962575,-0.5115875051221366,-2.1007419309384385,-1.4684679177175721,-3.491778298992483,2.7815794451029854,-1.9297258315693195,-0.08483001723119499,0.015179206999813715,-0.6227425227193089,-0.37447987735774924,-1.155472766209674,-0.6166298050848146,-0.7112574662132408
4,E-504,E,1,E-504-1,1,0.5310910058848727,121.01552345308698,1.068060531683173,1.1056841771611825,0.32992448154562887,0.8607907677402024,0.1319221246060253,0.0362882863164647,5.569896781614626,1.4769058606810748,0.17225746814153664,0.029687298898226404,0.1513709924563956,0.0087071022624527,23.202072143554688,0.845208290407331,0.124524685185112,4.795918830368617,0.10046430821799353,-1.1088914945114738,-0.14990381484100526,-2.025543495599526,3.1442415912163098,-0.9372146121840471,-0.19167411596882333,-0.9151257631900427,0.9591809188094378,1.9369936293149743,1.9672076217911891,2.963717249335238,-0.227200516367084
5,E-504,E,1,E-504-1,2,0.5718707917167268,133.8018353996051,4.335992839364457,1.247386939382721,0.38561497061886024,0.5846286152301579,0.0817725854136605,0.018459532085141,4.117424948116656,0.6513684629962972,0.10603800241169187,0.025328076507061807,0.0530021148224669,0.0028129785458854,13.976080417633057,0.5935417514953493,0.28948803872105355,4.896359865085882,0.2210509147830826,-0.952915892780351,-0.536778479110592,-2.503813233188239,2.637347326795815,-0.5012306994101717,0.04350784150541338,-0.5098920107663755,1.4020671162914409,2.5571891801170934,0.5994856517683969,1.1942965105265502,-0.8599826449456762
6,E-504,E,1,E-504-1,3,0.7997986020958626,66.80436134266225,2.8410362475462345,0.6470068457070093,0.11509138928865377,0.3507222638387304,0.0218899084014346,0.0111439440032796,1.6865060477052538,0.4851190676055189,0.049633764005896426,0.010148591249611018,0.0199003192624228,0.0019027604514242,11.28333330154419,0.6237553859496152,1.3850360991991735,4.201768367972141,-0.4353984038463163,-2.162028776750816,-1.047760639851227,-3.821729551949743,2.4233267078728202,1.9355858892991986,-1.188794104548073,-0.6952712696907553,-0.4743963524743675,-0.4554890046161497,-0.5589600397145831,-0.918537471743555,-1.0446698094762044
7,E-504,E,1,E-504-1,4,0.6294745773404192,96.74608643221656,3.61147578566948,1.2221712328374323,0.3697865176184349,0.8904185292720713,0.1070819383375542,0.0263065127720555,5.937066596018208,0.8639461772038491,0.13812284669863065,0.03366123555023941,0.115321524994985,0.0065371423907696,14.150996685028076,0.5621341751775728,0.5299634076420603,4.572089880778748,0.20062897600435134,-0.9948294192701761,-0.11606366918333968,-2.2341609587236095,2.6497850587131277,0.1146215748111281,-0.6380681762138739,-0.5997343749039834,1.323256455062372,2.3809160625649106,2.113942212325855,2.0872836579774274,-0.84798568122694
8,N-505,N,1,N-505-2,1,0.4448875237404208,114.4419102804987,14.8974840862748,1.3897153193619352,0.17089705764511579,0.3903089302053278,0.0495856004681361,0.0226917667352936,1.488179190511814,1.2814884144569088,0.16760152229166303,0.009508582177735756,0.0440615097263629,0.0018438049346495,21.935714285714287,0.7947126989047838,-0.22134925856220905,4.74006736046219,0.3290989199525085,-1.7666939058308289,-0.9408167246952188,-3.004054800542691,3.0881160978315183,-1.858831307157313,-0.31258429085539297,0.7997656951522387,1.8469086565305664,0.16598923700432933,-0.3629029304494446,0.05864662022795999,-0.31405607017980175
9,N-505,N,1,N-505-3,1,0.5602801929347372,82.39487317715046,12.335165427620485,0.7191411111766388,0.14446189799281656,0.3400659572609275,0.0469154899386152,0.0294519493855356,1.7384519874535571,1.02369283648047,0.09334723500130242,0.011401656132243577,0.0450531472936442,0.0031062850845192,22.677777777777777,1.01579161474947,0.24229928118161384,4.411523216255858,-0.32969768018850715,-1.9347394879103967,-1.0786156882420297,-3.059407382182318,3.12138549247958,-0.6251478437816531,-0.9020337700124639,0.48203022599608486,-0.2489436510509816,-0.12840516810748,-0.61173651358433,-0.03556259927699292,-0.2631602391409449
10,E-510,E,1,E-510-1,1,0.7145566372099009,136.23274603439322,10.541848618014988,0.7651802965459397,0.12050475623780903,0.4935179932473115,0.0476287379729556,0.0195574945399383,5.489134437710167,2.886087486697249,0.07757505789297911,0.009001536657320128,0.0505865526477075,0.0028623587756038,41.93678861788618,1.085025587623076,0.9176186321442954,4.914364790914556,-0.26764379116478587,-2.116066055977194,-0.7061959602923936,-3.0443189609941492,3.736163451676224,1.024248945629303,0.08822021235368546,0.2596533737177391,-0.10505005699738972,-0.39520319724407726,0.14825075858784736,-0.010397146429350648,1.0577555210023994
11,E-510,E,1,E-510-2,1,0.692651277173875,181.6134764616241,9.74193542037706,0.7492677028906488,0.09084979057249429,0.2513706280047825,0.0207419949645566,0.0085611625769986,2.070484918614388,0.7702113180445886,0.04019119254166328,0.004780869477381491,0.0107305459499624,0.0008817974009525,19.784454299088445,0.6662615913542173,0.8125436570908267,5.201880673004238,-0.2886589455828089,-2.3985477893435574,-1.3808268233636622,-3.8755948915801914,2.9848964929097996,0.7900548618593236,0.9229197768667461,0.16046165364137377,-0.15478421874259254,-0.7254548806263692,-1.0510094166937543,-0.9590391767298758,-0.4616043136535481
